date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:17	476203/476203	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:20%20GMT	https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/travel-agency-01.html	(from )
10:06:17	580/580	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2024%20Dec%202025%2004:06:17%20GMT	https://demo.egenslab.com/robots.txt		(from )
10:06:17	232952/232952	---MCZ	200	added ('OK')	text/css	etag:%2268ca885a-38df8%22	https://demo.egenslab.com/html/gofly/preview/assets/css/bootstrap.min.css	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/css/bootstrap.min.css	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:17	30699/30699	---MCZ	200	added ('OK')	text/css	etag:%2268ca8866-77eb%22	https://demo.egenslab.com/html/gofly/preview/assets/css/jquery-ui.css	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/css/jquery-ui.css	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:18	100335/100335	---MCZ	200	added ('OK')	text/css	etag:%2268ca885c-187ef%22	https://demo.egenslab.com/html/gofly/preview/assets/css/bootstrap-icons.css	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/css/bootstrap-icons.css	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:18	86631/86631	---MCZ	200	added ('OK')	text/css	etag:%2268ca885d-15267%22	https://demo.egenslab.com/html/gofly/preview/assets/css/animate.min.css	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/css/animate.min.css	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:18	12795/12795	---MCZ	200	added ('OK')	text/css	etag:%2268ca8860-31fb%22	https://demo.egenslab.com/html/gofly/preview/assets/css/jquery.fancybox.min.css	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/css/jquery.fancybox.min.css	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:18	18464/18464	---MCZ	200	added ('OK')	text/css	etag:%2268ca885e-4820%22	https://demo.egenslab.com/html/gofly/preview/assets/css/swiper-bundle.min.css	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/css/swiper-bundle.min.css	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:18	1895/1895	---MCZ	200	added ('OK')	text/css	etag:%2268ca885d-767%22	https://demo.egenslab.com/html/gofly/preview/assets/css/slick.css	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/css/slick.css	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:19	3349/3349	---MCZ	200	added ('OK')	text/css	etag:W/%2268ca8862-d15%22	https://demo.egenslab.com/html/gofly/preview/assets/css/slick-theme.css	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/css/slick-theme.css	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:19	8069/8069	---MCZ	200	added ('OK')	text/css	etag:%2268ca885f-1f85%22	https://demo.egenslab.com/html/gofly/preview/assets/css/daterangepicker.css	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/css/daterangepicker.css	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:19	63781/63781	---MCZ	200	added ('OK')	text/css	etag:%2268ca8861-f925%22	https://demo.egenslab.com/html/gofly/preview/assets/css/boxicons.min.css	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/css/boxicons.min.css	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:20	950976/950976	---MCZ	200	added ('OK')	text/css	etag:W/%2268ca8869-e82c0%22	https://demo.egenslab.com/html/gofly/preview/assets/css/style.css	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/css/style.css	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:20	893/893	---MCZ	200	added ('OK')	image/svg+xml	etag:%2268ca887c-37d%22	https://demo.egenslab.com/html/gofly/preview/assets/img/fav-icon.svg	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/img/fav-icon.svg	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:20	592358/592358	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:18%20GMT	https://demo.egenslab.com/html/gofly/preview/index.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/index.html	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:20	10858/10858	---MCZ	200	added ('OK')	image/svg+xml	etag:%2268ca887f-2a6a%22	https://demo.egenslab.com/html/gofly/preview/assets/img/header-logo2.svg	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/img/header-logo2.svg	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:20	395143/395143	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:23%20GMT	https://demo.egenslab.com/html/gofly/preview/travel-agency-02.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/travel-agency-02.html	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:21	371938/371938	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:21%20GMT	https://demo.egenslab.com/html/gofly/preview/travel-agency-03.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/travel-agency-03.html	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:21	271930/271930	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:23%20GMT	https://demo.egenslab.com/html/gofly/preview/travel-agency-04.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/travel-agency-04.html	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:21	301896/301896	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:14%20GMT	https://demo.egenslab.com/html/gofly/preview/experience-01.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/experience-01.html	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:21	275167/275167	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:14%20GMT	https://demo.egenslab.com/html/gofly/preview/experience-02.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/experience-02.html	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:22	164034/164034	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:28%20GMT	https://demo.egenslab.com/html/gofly/preview/visa-agency.html	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/visa-agency.html	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
